"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.1682706604795,0.925,0.226,0,"0","GPNMB"
0,3.02282689337624,0.941,0.341,0,"0","APOE"
0,2.78120408152779,0.96,0.361,0,"0","APOC1"
0,2.50131956354862,0.801,0.249,0,"0","LIPA"
0,3.21269007251193,0.706,0.177,0,"0","CHIT1"
0,2.63921617577113,0.706,0.197,0,"0","CTSL"
0,1.90182259251207,0.883,0.409,0,"0","CTSZ"
0,2.26441048152813,0.969,0.501,0,"0","CTSB"
0,2.10735021273072,0.982,0.567,0,"0","PSAP"
0,1.87637953659738,0.966,0.583,0,"0","CTSD"
0,1.82612129227691,1,0.951,0,"0","FTL"
5.74409118971013e-317,1.842852082547,0.81,0.281,1.17150739814138e-312,"0","CD68"
8.64869268886231e-278,1.56195793618493,0.682,0.196,1.76390087389347e-273,"0","A2M"
4.97280496574241e-268,2.33297856075916,0.641,0.201,1.01420357276317e-263,"0","PLD3"
2.27381229709889e-260,1.38110137185546,0.905,0.466,4.6374401799332e-256,"0","CTSS"
2.470991892195e-252,1.75036108271907,0.735,0.257,5.0395879641317e-248,"0","ACP5"
4.08744802792441e-246,1.28475576287316,0.927,0.486,8.33635025295183e-242,"0","TYROBP"
5.9808270850702e-235,1.8222274785761,0.694,0.25,1.21978968400007e-230,"0","MARCKS"
4.00275753939516e-232,2.86352608464732,0.502,0.127,8.16362400159643e-228,"0","LGMN"
2.76117236845653e-229,1.36374584338521,0.882,0.475,5.63141104546709e-225,"0","LGALS1"
6.55087165888901e-226,2.57370517375397,0.479,0.109,1.33605027483041e-221,"0","ABCA1"
1.08829875777827e-225,3.65224637357831,0.382,0.06,2.21958531648877e-221,"0","SPP1"
5.37002957383598e-223,1.28345442878893,0.841,0.362,1.09521753158385e-218,"0","C1QB"
2.49840823774038e-216,2.04656177998565,0.525,0.137,5.09550360087151e-212,"0","CD84"
3.99735077084797e-211,2.04089830301892,0.582,0.184,8.15259689714444e-207,"0","DAB2"
7.39539481959503e-206,1.0126265368985,0.98,0.545,1.50829077345641e-201,"0","LYZ"
2.90042760093965e-201,3.0946861909364,0.347,0.053,5.91542209211642e-197,"0","PLA2G7"
1.05955047119245e-200,1.51425358231046,0.849,0.537,2.16095318599699e-196,"0","CSTB"
9.9169262898871e-199,3.09163179917604,0.34,0.051,2.02255711682248e-194,"0","NPL"
4.79048139806185e-197,1.58799277920427,0.683,0.276,9.77018681134715e-193,"0","TIMP2"
5.04558553647686e-197,2.07759528066031,0.672,0.28,1.02904717016445e-192,"0","FABP5"
1.71669303631501e-194,1.16792382660352,0.86,0.438,3.50119544756447e-190,"0","GRN"
5.6480260135434e-194,1.28284077393987,0.838,0.441,1.15191490546218e-189,"0","SDCBP"
1.63806569353804e-192,1.51799734031189,0.713,0.309,3.34083498197083e-188,"0","CAPG"
6.24662640885311e-192,0.816883072730528,1,0.947,1.27399945608559e-187,"0","FTH1"
